,round,scenario,algorithm,metric,at,value
0,1,100000,recModel,map,3,0.6757150936095484
0,1,100000,recModel,map,5,0.6700526832752923
0,1,100000,recModel,map,7,0.6641640744162653
0,1,100000,recModel,map,9,0.6579483547047615
0,1,100000,recModel,map,11,0.6520647864881116
0,1,100000,recModel,map,13,0.646340711303414
0,1,100000,recModel,map,15,0.6407188872779549
0,1,100000,recModel,mrr,1,0.6860433967318511
0,1,100000,recModel,mrr,3,0.8026163050272346
0,1,100000,recModel,mrr,5,0.8130100901866237
0,1,100000,recModel,mrr,7,0.8144643016595868
0,1,100000,recModel,mrr,9,0.814497786792188
0,1,100000,recModel,mrr,11,0.814497786792188
0,1,100000,recModel,mrr,13,0.814497786792188
0,1,100000,recModel,mrr,15,0.814497786792188
0,2,100000,KNN,map,1,0.7909847061980145
0,2,100000,KNN,map,3,0.7820484154667143
0,2,100000,KNN,map,5,0.7745533345258325
0,2,100000,KNN,map,7,0.7671314477852674
0,2,100000,KNN,map,9,0.7603053611237696
0,2,100000,KNN,map,11,0.7547260240735321
0,2,100000,KNN,map,13,0.7510453083808329
0,2,100000,KNN,map,15,0.7489224090660285
0,2,100000,KNN,mrr,1,0.7909847061980145
0,2,100000,KNN,mrr,3,0.8763974599767462
0,2,100000,KNN,mrr,5,0.8817637062874518
0,2,100000,KNN,mrr,7,0.8819361927760103
0,2,100000,KNN,mrr,9,0.8819361927760103
0,2,100000,KNN,mrr,11,0.8819361927760103
0,2,100000,KNN,mrr,13,0.8819361927760103
0,2,100000,KNN,mrr,15,0.8819361927760103
0,2,100000,PER,map,1,0.7884563758389261
0,2,100000,PER,map,3,0.7826696495152871
0,2,100000,PER,map,5,0.7761304250559284
0,2,100000,PER,map,7,0.7687883258001186
0,2,100000,PER,map,9,0.7622641292584644
0,2,100000,PER,map,11,0.7570261743390778
0,2,100000,PER,map,13,0.7538318676666771
0,2,100000,PER,map,15,0.7520753371174405
0,2,100000,PER,mrr,1,0.7884563758389261
0,2,100000,PER,mrr,3,0.8769574944071589
0,2,100000,PER,mrr,5,0.881668903803132
0,2,100000,PER,mrr,7,0.881886225631192
0,2,100000,PER,mrr,9,0.881886225631192
0,2,100000,PER,mrr,11,0.881886225631192
0,2,100000,PER,mrr,13,0.881886225631192
0,2,100000,PER,mrr,15,0.881886225631192
0,2,100000,MLP,map,1,0.7799426934097421
0,2,100000,MLP,map,3,0.7702960840496657
0,2,100000,MLP,map,5,0.7638272843043616
0,2,100000,MLP,map,7,0.757918588256697
0,2,100000,MLP,map,9,0.7524695860143908
0,2,100000,MLP,map,11,0.7475671107830757
0,2,100000,MLP,map,13,0.7437283213099063
0,2,100000,MLP,map,15,0.7411733186598989
0,2,100000,MLP,mrr,1,0.7799426934097421
0,2,100000,MLP,mrr,3,0.8689589302769818
0,2,100000,MLP,mrr,5,0.8746895893027699
0,2,100000,MLP,mrr,7,0.8750034111065631
0,2,100000,MLP,mrr,9,0.8750034111065631
0,2,100000,MLP,mrr,11,0.8750034111065631
0,2,100000,MLP,mrr,13,0.8750034111065631
0,2,100000,MLP,mrr,15,0.8750034111065631
0,2,100000,CART,map,1,0.7665682854843038
