,users,positive,negative
0,384,54.283854166666664,41.677083333333336
0,331,54.6797583081571,42.0392749244713
0,390,54.51282051282051,41.702564102564104
0,362,55.146408839779006,42.251381215469614
0,356,53.54775280898876,41.25561797752809
