,round,scenario,algorithm,metric,at,value
0,1,50000,KNN,map,1,0.8020833333333334
0,1,50000,KNN,map,3,0.7894965277777778
0,1,50000,KNN,map,5,0.7751012731481483
0,1,50000,KNN,map,7,0.7630774636243386
0,1,50000,KNN,map,9,0.753391117177002
0,1,50000,KNN,map,11,0.7467402425433701
0,1,50000,KNN,map,13,0.7427128330208047
0,1,50000,KNN,map,15,0.7411041173100257
0,1,50000,KNN,mrr,1,0.8020833333333334
0,1,50000,KNN,mrr,3,0.8836805555555557
0,1,50000,KNN,mrr,5,0.8892795138888889
0,1,50000,KNN,mrr,7,0.8892795138888889
0,1,50000,KNN,mrr,9,0.8892795138888889
0,1,50000,KNN,mrr,11,0.8892795138888889
0,1,50000,KNN,mrr,13,0.8892795138888889
0,1,50000,KNN,mrr,15,0.8892795138888889
0,1,50000,PER,map,1,0.7864583333333334
0,1,50000,PER,map,3,0.7819733796296297
0,1,50000,PER,map,5,0.7745457175925926
0,1,50000,PER,map,7,0.7659648998488283
0,1,50000,PER,map,9,0.7578996906198823
0,1,50000,PER,map,11,0.7527828412284512
0,1,50000,PER,map,13,0.7496901834254158
0,1,50000,PER,map,15,0.7482749717298267
0,1,50000,PER,mrr,1,0.7864583333333334
0,1,50000,PER,mrr,3,0.8763020833333334
0,1,50000,PER,mrr,5,0.8813802083333333
0,1,50000,PER,mrr,7,0.8813802083333333
0,1,50000,PER,mrr,9,0.8813802083333333
0,1,50000,PER,mrr,11,0.8813802083333333
0,1,50000,PER,mrr,13,0.8813802083333333
0,1,50000,PER,mrr,15,0.8813802083333333
0,1,50000,MLP,map,1,0.8080229226361032
0,1,50000,MLP,map,3,0.7892390958293537
0,1,50000,MLP,map,5,0.7771442215854824
0,1,50000,MLP,map,7,0.7659519911116308
0,1,50000,MLP,map,9,0.7570625661917106
0,1,50000,MLP,map,11,0.7497559643442128
0,1,50000,MLP,map,13,0.7448432150013233
0,1,50000,MLP,map,15,0.7421237334619796
0,1,50000,MLP,mrr,1,0.8080229226361032
0,1,50000,MLP,mrr,3,0.8858643744030562
0,1,50000,MLP,mrr,5,0.8893027698185292
0,1,50000,MLP,mrr,7,0.8893027698185292
0,1,50000,MLP,mrr,9,0.8893027698185292
0,1,50000,MLP,mrr,11,0.8893027698185292
0,1,50000,MLP,mrr,13,0.8893027698185292
0,1,50000,MLP,mrr,15,0.8893027698185292
0,1,50000,CART,map,1,0.8020833333333334
0,1,50000,CART,map,3,0.7657696759259259
0,1,50000,CART,map,5,0.7467563657407407
0,1,50000,CART,map,7,0.7357918202003023
0,1,50000,CART,map,9,0.7277797674818384
0,1,50000,CART,map,11,0.7225953174431824
0,1,50000,CART,map,13,0.7195372126620935
0,1,50000,CART,map,15,0.7177069791518146
0,1,50000,CART,mrr,1,0.8020833333333334
0,1,50000,CART,mrr,3,0.8836805555555557
0,1,50000,CART,mrr,5,0.8862847222222223
0,1,50000,CART,mrr,7,0.88671875
0,1,50000,CART,mrr,9,0.88671875
0,1,50000,CART,mrr,11,0.88671875
0,1,50000,CART,mrr,13,0.88671875
0,1,50000,CART,mrr,15,0.88671875
0,1,50000,RF,map,1,0.8046875
0,1,50000,RF,map,3,0.7815393518518517
0,1,50000,RF,map,5,0.7718569155092592
0,1,50000,RF,map,7,0.7612418361441798
0,1,50000,RF,map,9,0.7508629582716573
0,1,50000,RF,map,11,0.7431416145433692
0,1,50000,RF,map,13,0.7383615730202205
0,1,50000,RF,map,15,0.735866730419208
0,1,50000,RF,mrr,1,0.8046875
0,1,50000,RF,mrr,3,0.8880208333333334
0,1,50000,RF,mrr,5,0.8904947916666667
0,1,50000,RF,mrr,7,0.8904947916666667
0,1,50000,RF,mrr,9,0.8904947916666667
0,1,50000,RF,mrr,11,0.8904947916666667
